2026-06-01 18:53:00.342 INFO  a.d.s.SpringProjectApplication - Starting SpringProjectApplication using Java 21.0.9 with PID 16600 (C:\Github\14_aprel-group\codes\spring\spring-project\spring-project\target\classes started by aslan in C:\Github\14_aprel-group\codes\spring\spring-project\spring-project)
2026-06-01 18:53:00.356 INFO  a.d.s.SpringProjectApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-01 18:53:00.527 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-01 18:53:00.528 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-01 18:53:01.553 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-06-01 18:53:01.567 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-01 18:53:01.570 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-01 18:53:01.570 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-06-01 18:53:01.606 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1077 ms
2026-06-01 18:53:01.966 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-01 18:53:01.994 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-06-01 18:53:02.000 INFO  a.d.s.SpringProjectApplication - Started SpringProjectApplication in 2.25 seconds (process running for 2.726)
2026-06-01 18:54:20.115 INFO  a.d.s.SpringProjectApplication - Starting SpringProjectApplication using Java 21.0.9 with PID 16972 (C:\Github\14_aprel-group\codes\spring\spring-project\spring-project\target\classes started by aslan in C:\Github\14_aprel-group\codes\spring\spring-project\spring-project)
2026-06-01 18:54:20.119 INFO  a.d.s.SpringProjectApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-01 18:54:20.175 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-01 18:54:20.175 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-01 18:54:21.060 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-06-01 18:54:21.071 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-01 18:54:21.073 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-01 18:54:21.073 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-06-01 18:54:21.110 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 933 ms
2026-06-01 18:54:21.458 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-01 18:54:21.480 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-06-01 18:54:21.486 INFO  a.d.s.SpringProjectApplication - Started SpringProjectApplication in 1.862 seconds (process running for 2.307)
2026-06-01 18:54:30.020 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-01 18:54:30.021 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-01 18:54:30.023 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-06-01 18:54:51.325 WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public java.lang.String az.developia.spring_project.controller.ComputerController.addComputer(az.developia.spring_project.entity.Computer)]
2026-06-01 18:58:50.222 WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: Required request body is missing: public java.lang.String az.developia.spring_project.controller.ComputerController.addComputer(az.developia.spring_project.entity.Computer)]
