2026-05-31 16:14:47.400 INFO  a.d.s.SpringProjectApplication - Starting SpringProjectApplication using Java 21.0.9 with PID 18372 (C:\Github\14_aprel-group\codes\spring\spring-project\spring-project\target\classes started by aslan in C:\Github\14_aprel-group\codes\spring\spring-project\spring-project)
2026-05-31 16:14:47.414 INFO  a.d.s.SpringProjectApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-31 16:14:47.548 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-05-31 16:14:47.553 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-05-31 16:14:49.408 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-05-31 16:14:49.435 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-05-31 16:14:49.439 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-31 16:14:49.440 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-05-31 16:14:49.514 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1958 ms
2026-05-31 16:14:50.328 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-05-31 16:14:50.381 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-05-31 16:14:50.399 INFO  a.d.s.SpringProjectApplication - Started SpringProjectApplication in 4.06 seconds (process running for 5.001)
2026-05-31 16:15:11.857 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 4 class path changes (0 additions, 1 deletion, 3 modifications)
2026-05-31 16:15:11.866 INFO  o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-05-31 16:15:11.868 INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8080"]
2026-05-31 16:15:11.891 INFO  o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-05-31 16:15:11.892 INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2026-05-31 16:15:12.070 INFO  a.d.s.SpringProjectApplication - Starting SpringProjectApplication using Java 21.0.9 with PID 18372 (C:\Github\14_aprel-group\codes\spring\spring-project\spring-project\target\classes started by aslan in C:\Github\14_aprel-group\codes\spring\spring-project\spring-project)
2026-05-31 16:15:12.072 INFO  a.d.s.SpringProjectApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-31 16:15:12.559 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-05-31 16:15:12.562 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-05-31 16:15:12.562 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-31 16:15:12.563 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-05-31 16:15:12.598 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 517 ms
2026-05-31 16:15:12.769 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-05-31 16:15:12.778 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-05-31 16:15:12.786 INFO  a.d.s.SpringProjectApplication - Started SpringProjectApplication in 0.815 seconds (process running for 27.388)
2026-05-31 16:15:12.796 INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2026-05-31 16:15:19.458 INFO  a.d.s.SpringProjectApplication - Starting SpringProjectApplication using Java 21.0.9 with PID 8712 (C:\Github\14_aprel-group\codes\spring\spring-project\spring-project\target\classes started by aslan in C:\Github\14_aprel-group\codes\spring\spring-project\spring-project)
2026-05-31 16:15:19.465 INFO  a.d.s.SpringProjectApplication - No active profile set, falling back to 1 default profile: "default"
2026-05-31 16:15:19.591 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-05-31 16:15:19.591 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-05-31 16:15:21.448 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-05-31 16:15:21.473 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-05-31 16:15:21.478 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-31 16:15:21.479 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.21]
2026-05-31 16:15:21.577 INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1983 ms
2026-05-31 16:15:22.389 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-05-31 16:15:22.444 INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-05-31 16:15:22.458 INFO  a.d.s.SpringProjectApplication - Started SpringProjectApplication in 4.088 seconds (process running for 5.12)
2026-05-31 16:15:38.851 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-31 16:15:38.858 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-05-31 16:15:38.879 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 19 ms
